scope_type,scope_value,feature_a,feature_b,n_observations,correlation,absolute_correlation
sensor,5,temperature,humidity,829,-0.9565764037865233,0.9565764037865233
city,Tulkarem,temperature,humidity,1627,-0.9013228513312944,0.9013228513312944
sensor,1,temperature,humidity,1627,-0.9013228513312944,0.9013228513312944
city,Tulkarem,pm25,aqi,1627,0.8671106656914116,0.8671106656914116
sensor,1,pm25,aqi,1627,0.8671106656914116,0.8671106656914116
sensor,4,pm25,aqi,1597,0.8519216146247541,0.8519216146247541
global,All sensors,pm25,aqi,5635,0.8146184731122149,0.8146184731122149
city,Nablus,pm25,aqi,4008,0.8056747594859149,0.8056747594859149
city,Nablus,temperature,humidity,4008,-0.8028503038464804,0.8028503038464804
sensor,2,pm25,aqi,1582,0.7858697065426276,0.7858697065426276
sensor,4,temperature,humidity,1597,-0.7849990273601547,0.7849990273601547
sensor,2,temperature,humidity,1582,-0.7761041168650554,0.7761041168650554
sensor,2,pm25,humidity,1582,0.7383005147859452,0.7383005147859452
sensor,5,pm25,aqi,829,0.7345603270629711,0.7345603270629711
sensor,4,pm25,humidity,1597,0.7341912594255933,0.7341912594255933
sensor,4,humidity,aqi,1597,0.7276547195170705,0.7276547195170705
global,All sensors,temperature,humidity,5635,-0.7160242734616313,0.7160242734616313
city,Nablus,pm25,humidity,4008,0.7139522564829454,0.7139522564829454
city,Nablus,humidity,aqi,4008,0.6899638704346649,0.6899638704346649
sensor,2,humidity,aqi,1582,0.6898177502940276,0.6898177502940276
sensor,1,no2,o3,1628,-0.6763142357506958,0.6763142357506958
city,Tulkarem,no2,o3,1628,-0.6763142357506958,0.6763142357506958
global,All sensors,no2,o3,1628,-0.6763142357506958,0.6763142357506958
global,All sensors,pm25,humidity,5635,0.6655564675868004,0.6655564675868004
global,All sensors,humidity,aqi,5635,0.6305753358273464,0.6305753358273464
sensor,5,pm25,humidity,829,0.6290065382543151,0.6290065382543151
sensor,5,humidity,aqi,829,0.5967119440921902,0.5967119440921902
city,Tulkarem,temperature,no2,1628,-0.5585927235987469,0.5585927235987469
sensor,1,temperature,no2,1628,-0.5585927235987469,0.5585927235987469
global,All sensors,temperature,no2,1628,-0.5585927235987469,0.5585927235987469
sensor,2,pm25,temperature,1582,-0.5367733536451671,0.5367733536451671
sensor,1,humidity,no2,1627,0.5231501029024291,0.5231501029024291
global,All sensors,humidity,no2,1627,0.5231501029024291,0.5231501029024291
city,Tulkarem,humidity,no2,1627,0.5231501029024291,0.5231501029024291
sensor,4,pm25,temperature,1597,-0.5132379081206621,0.5132379081206621
sensor,4,temperature,aqi,1597,-0.5023751036314734,0.5023751036314734
city,Nablus,pm25,temperature,4008,-0.48778423801505366,0.48778423801505366
sensor,5,temperature,aqi,829,-0.4802668714109861,0.4802668714109861
sensor,5,pm25,temperature,829,-0.4792644950757487,0.4792644950757487
sensor,1,pm25,humidity,1627,0.47805338289670896,0.47805338289670896
city,Tulkarem,pm25,humidity,1627,0.47805338289670896,0.47805338289670896
city,Nablus,temperature,aqi,4008,-0.46832285528624545,0.46832285528624545
sensor,2,temperature,aqi,1582,-0.4681554078669507,0.4681554078669507
city,Tulkarem,humidity,aqi,1627,0.45032669812679516,0.45032669812679516
sensor,1,humidity,aqi,1627,0.45032669812679516,0.45032669812679516
city,Tulkarem,temperature,o3,1628,0.4040353674278119,0.4040353674278119
global,All sensors,temperature,o3,1628,0.4040353674278119,0.4040353674278119
sensor,1,temperature,o3,1628,0.4040353674278119,0.4040353674278119
global,All sensors,humidity,o3,1627,-0.3699658794878814,0.3699658794878814
sensor,1,humidity,o3,1627,-0.3699658794878814,0.3699658794878814
city,Tulkarem,humidity,o3,1627,-0.3699658794878814,0.3699658794878814
sensor,1,pm25,temperature,1627,-0.3280029778786028,0.3280029778786028
city,Tulkarem,pm25,temperature,1627,-0.3280029778786028,0.3280029778786028
global,All sensors,temperature,aqi,5636,-0.3263493950017766,0.3263493950017766
global,All sensors,pm25,temperature,5635,-0.3237577989895209,0.3237577989895209
city,Tulkarem,temperature,aqi,1628,-0.29891863060814766,0.29891863060814766
sensor,1,temperature,aqi,1628,-0.29891863060814766,0.29891863060814766
sensor,1,no2,aqi,1628,0.23585727411530194,0.23585727411530194
city,Tulkarem,no2,aqi,1628,0.23585727411530194,0.23585727411530194
global,All sensors,no2,aqi,1628,0.23585727411530194,0.23585727411530194
global,All sensors,pm25,no2,1627,0.2148415682435282,0.2148415682435282
city,Tulkarem,pm25,no2,1627,0.2148415682435282,0.2148415682435282
sensor,1,pm25,no2,1627,0.2148415682435282,0.2148415682435282
sensor,1,o3,aqi,1628,-0.05609965501831454,0.05609965501831454
global,All sensors,o3,aqi,1628,-0.05609965501831454,0.05609965501831454
city,Tulkarem,o3,aqi,1628,-0.05609965501831454,0.05609965501831454
global,All sensors,pm25,o3,1627,-0.03245429535615829,0.03245429535615829
city,Tulkarem,pm25,o3,1627,-0.03245429535615829,0.03245429535615829
sensor,1,pm25,o3,1627,-0.03245429535615829,0.03245429535615829
